Work Item ID,Work Type,Parent ID,Summary,Description,Assignee,Reporter,Priority,Status,Resolution,Labels,Components,Sprint,Story Points,Created,Comment
SP-1,Epic,,Employee shift calendar widget,"Service Portal widget where an employee logs one shift per day for a month, sees CO entitlements and submits the month for approval.",Rucha Joshi,Geetha Nallamada,High,Done,Done,widget,Employee Calendar UI Widget,Sprint 1,,05/Jun/26 10:00 AM,"19/Jun/26 05:00 PM;Rucha Joshi;Epic covers the employee side only. Manager actions on these same submissions live under SP-2, so the two widgets can ship independently."
SP-2,Epic,,Manager approval workflow,"Team approval queue with per-month tabs, bulk approve/reject, review drill-in, per-day correction and a cross-month history of the manager's own decisions.",Rucha Joshi,Geetha Nallamada,High,Done,Done,widget,Manager Approval UI Widget,Sprint 4,,05/Jun/26 10:00 AM,"31/Jul/26 05:00 PM;Rucha Joshi;Approval state deliberately lives on the monthly timesheet row rather than in a separate table. Simpler, at the cost recorded on SP-30."
SP-3,Epic,,Shared business rule layer,"Script Includes owning pay aggregation, the CO entitlement lifecycle and the calendar rules, all parameterised by user so the manager side can reuse them without forking.",Shashank Shukla,Geetha Nallamada,Highest,Done,Done,script-include,Script Includes,Sprint 3,,05/Jun/26 10:00 AM,"17/Jul/26 05:00 PM;Shashank Shukla;Highest risk epic in the project. Everything here is shared by two widgets, so a defect here is a defect in both."
SP-4,Epic,,Power BI reporting layer,Read-only reporting over the same tables built in Power BI Desktop against the Table API. Reimplements no shift or pay rule.,Geetha Nallamada,Geetha Nallamada,Medium,Done,Done,reporting,Power BI,Sprint 5,,05/Jun/26 10:00 AM,"14/Aug/26 05:00 PM;Geetha Nallamada;Read-only by design. If a number here disagrees with the widget, the widget is right and the report is wrong."
SP-5,Epic,,Test automation and evidence pack,"Playwright plus python-docx pack that drives the deployed widgets and produces branded Word evidence records. 40 documented cases, 9 automated.",Neha Chauhan,Geetha Nallamada,High,In Progress,,qa,testing,Sprint 4,,05/Jun/26 10:00 AM,05/Jun/26 10:00 AM;Neha Chauhan;The pack is deliberately honest about known defects rather than green. See SP-57 through SP-61.
SP-6,Epic,,Platform deployment and governance,"Deployment path through cnit, scope handling, one-time metadata sweeps and instance retargeting.",Shashank Shukla,Geetha Nallamada,Medium,Done,Done,platform,tools,Sprint 3,,05/Jun/26 10:00 AM,17/Jul/26 05:00 PM;Shashank Shukla;Most of the pain in this epic was tooling behaviour rather than our own code. Four traps are documented on the SP-62 sub-items.
SP-7,Epic,,Documentation and handover,"BRD, README, technical design and test case documents, all built from source so nothing is retyped between them.",Geetha Nallamada,Geetha Nallamada,Medium,In Progress,,docs,docs,Sprint 1,,05/Jun/26 10:00 AM,05/Jun/26 10:00 AM;Geetha Nallamada;Documents are generated from source so they cannot drift from what they describe.
SP-10,Story,SP-1,Month grid renders the signed-in user's submissions,"As an employee I see a month grid of my logged shifts so I can review the whole month at a glance. Server populates data, client copies off c.data at bootstrap, template renders c.",Rucha Joshi,Geetha Nallamada,High,Done,Done,widget,Employee Calendar UI Widget,Sprint 1,8,08/Jun/26 10:00 AM,19/Jun/26 05:00 PM;Rucha Joshi;Demoed with a real month pulled from the instance on 18 Jun. Sign-off given.
SP-11,Subtask,SP-10,Build the month grid template with day cells and shift chips,AngularJS 1.x template bound to controller c. Chip colour comes from catalogue color_hex with the pale tint derived in buildShiftTypes.,Rucha Joshi,Rucha Joshi,Medium,Done,Done,widget,Employee Calendar UI Widget,,,08/Jun/26 10:00 AM,19/Jun/26 05:00 PM;Rucha Joshi;Chip colour comes from the single stored colour on the catalogue row and the pale background tint is derived in code. Two stored colours would drift the first time someone edited one of them.
SP-12,Subtask,SP-10,Bootstrap c.entries and c.allowedShifts from c.data,Client copies the server data once at bootstrap and thereafter patches its local maps rather than reloading the page.,Rucha Joshi,Rucha Joshi,Medium,Done,Done,widget,Employee Calendar UI Widget,,,08/Jun/26 10:00 AM,19/Jun/26 05:00 PM;Rucha Joshi;Copying off c.data once at bootstrap keeps the template rendering c only. Every write returns fresh data and we patch the local maps from it.
SP-13,Subtask,SP-10,Namespace every custom class shift- in the SCSS,"BEM-light naming, Bootstrap 3 and Font Awesome assumed present from Service Portal.",Rucha Joshi,Rucha Joshi,Low,Done,Done,widget,Employee Calendar UI Widget,,,10/Jun/26 10:00 AM,19/Jun/26 05:00 PM;Rucha Joshi;Everything prefixed shift-. Bootstrap 3 and Font Awesome come from Service Portal so neither is bundled.
SP-14,Story,SP-1,Save change and clear a single day,"As an employee I can set, change or clear the shift on one day and see the month totals update without a reload.",Rucha Joshi,Geetha Nallamada,High,Done,Done,widget,Employee Calendar UI Widget,Sprint 2,8,15/Jun/26 10:00 AM,"03/Jul/26 05:00 PM;Rucha Joshi;Totals recompute on the client from the patched maps, so a day change costs no page reload."
